Frame,Centroids,Area
212,"[[163, 306], [245, 252], [245, 254], [307, 199]]","[1626.0, 20.5, 1129.5, 654.0]"
213,"[[174, 292], [161, 306], [245, 252], [305, 203]]","[46.5, 2644.5, 1295.5, 515.0]"
214,"[[162, 311], [246, 247]]","[2064.0, 1575.5]"
215,"[[179, 289], [166, 309], [247, 249]]","[94.0, 2289.0, 1547.5]"
216,"[[171, 297], [244, 256], [307, 207]]","[4214.0, 966.0, 225.5]"
217,"[[137, 341], [141, 336], [241, 266], [159, 298], [254, 241], [308, 203]]","[4.0, 28.5, 436.0, 3599.5, 459.0, 361.5]"
218,"[[163, 316], [245, 260], [309, 206]]","[2675.0, 616.0, 168.0]"
219,"[[245, 256]]",[874.0]
220,"[[166, 301], [242, 257]]","[1969.0, 586.5]"
221,"[[164, 309]]",[1566.0]
222,"[[163, 303], [243, 251], [245, 253]]","[1892.0, 57.0, 1006.5]"
223,"[[165, 297], [247, 253]]","[1858.5, 1174.0]"
224,"[[119, 381], [162, 316], [249, 242]]","[1453.5, 2777.0, 495.0]"
225,"[[165, 302]]",[1986.0]
226,"[[161, 310], [245, 251]]","[2011.0, 1395.5]"
227,"[[163, 301], [254, 242]]","[2172.5, 339.5]"
228,"[[161, 318], [249, 246]]","[2189.5, 471.0]"
229,"[[202, 301], [161, 315]]","[155.5, 2239.0]"
230,"[[160, 315], [243, 261]]","[1723.5, 1160.5]"
231,"[[163, 312], [245, 256]]","[1890.0, 829.0]"
232,"[[163, 315], [242, 265]]","[3103.0, 503.0]"
233,"[[166, 303], [241, 265], [254, 246], [309, 206]]","[2656.0, 483.5, 160.5, 163.0]"
234,"[[163, 309], [242, 265], [252, 243]]","[1765.0, 492.5, 84.0]"
235,"[[196, 331], [163, 311], [241, 265], [253, 245]]","[119.5, 2035.0, 416.0, 111.0]"
236,"[[158, 315], [258, 251], [241, 266], [307, 207]]","[4793.0, 54.5, 434.5, 201.5]"
237,"[[159, 319], [241, 267], [255, 245]]","[2939.0, 436.5, 232.5]"
238,"[[156, 322], [255, 249], [240, 261], [310, 206]]","[2060.5, 91.0, 537.0, 158.0]"
239,"[[160, 310], [242, 267]]","[2055.0, 442.0]"
240,"[[157, 315]]",[2660.5]
241,"[[160, 318]]",[2116.0]
242,"[[159, 315]]",[3314.0]
243,"[[153, 313]]",[4445.5]
244,"[[159, 306]]",[2327.0]
245,"[[152, 311]]",[3873.0]
246,"[[131, 296], [159, 312], [121, 278]]","[12.0, 2107.5, 13.0]"
247,"[[162, 319]]",[863.0]
248,"[[163, 317], [247, 260], [310, 202]]","[1077.0, 864.0, 314.0]"
249,"[[155, 320]]",[1779.0]
250,"[[156, 322], [250, 255], [311, 203]]","[1468.0, 209.5, 492.0]"
251,"[[195, 331], [160, 319]]","[107.0, 1056.5]"
252,"[[161, 316], [310, 207]]","[1184.5, 177.0]"
253,"[[159, 318]]",[1834.5]
254,"[[167, 391], [161, 292], [120, 274], [160, 328]]","[44.5, 14.5, 15.5, 8089.0]"
255,"[[130, 304], [149, 307], [306, 200]]","[51.0, 4052.5, 509.5]"
256,"[[159, 320], [245, 260], [305, 201]]","[1213.5, 750.0, 539.0]"
257,"[[156, 322], [310, 202]]","[1430.0, 276.5]"
258,"[[158, 319]]",[1152.5]
259,"[[156, 325]]",[1974.0]
260,"[[157, 321]]",[1711.5]
261,"[[155, 321]]",[2060.5]
262,"[[154, 320]]",[1902.0]
263,"[[157, 320], [245, 268]]","[1169.0, 227.5]"
264,"[[156, 322]]",[1280.0]
265,"[[157, 321]]",[1574.0]
266,"[[159, 323]]",[863.0]
267,"[[159, 321]]",[970.5]
268,"[[159, 320]]",[914.0]
269,"[[157, 322]]",[1099.0]
270,"[[405, 481], [151, 322], [247, 262]]","[1845.0, 3171.5, 252.5]"
271,"[[152, 327], [243, 264]]","[2096.0, 265.5]"
272,"[[155, 329]]",[3096.0]
273,"[[154, 323]]",[1860.0]
274,"[[154, 320]]",[2214.0]
275,"[[161, 322]]",[534.0]
276,"[[150, 328]]",[1570.5]
277,"[[155, 324]]",[1410.0]
278,"[[156, 322]]",[2241.0]
279,"[[156, 323]]",[1235.0]
280,"[[141, 302], [153, 315]]","[52.5, 2665.5]"
281,"[[157, 322]]",[1357.5]
282,"[[158, 324]]",[1054.5]
283,"[[199, 333], [161, 322]]","[265.5, 590.5]"
284,"[[159, 321]]",[941.5]
285,"[[160, 323]]",[915.0]
286,"[[161, 321]]",[758.5]
287,"[[160, 323]]",[637.5]
288,"[[163, 323]]",[436.5]
289,"[[161, 322]]",[596.0]
290,"[[155, 325]]",[1000.5]
291,"[[155, 328]]",[1821.5]
292,"[[155, 328]]",[1740.5]
293,"[[154, 324]]",[1212.0]
294,"[[165, 327]]",[157.0]
295,"[[162, 323]]",[447.0]
296,"[[156, 324]]",[922.5]
297,"[[157, 329]]",[2288.5]
298,"[[156, 324]]",[942.0]
299,"[[153, 327]]",[1168.0]
300,"[[155, 331]]",[716.5]
301,"[[152, 327]]",[1244.5]
302,"[[154, 324]]",[1460.5]
303,"[[198, 330], [157, 322]]","[277.5, 867.5]"
304,"[[162, 324]]",[622.5]
305,"[[159, 321]]",[1061.5]
306,"[[159, 321]]",[884.0]
307,"[[161, 320]]",[725.0]
308,"[[161, 321]]",[650.5]
309,"[[161, 320]]",[724.0]
310,"[[160, 322]]",[604.5]
311,"[[156, 329]]",[701.0]
312,"[[157, 324]]",[879.0]
313,"[[163, 323]]",[464.0]
314,"[[180, 407], [141, 405], [197, 305], [193, 257], [151, 321]]","[169.0, 606.5, 1.5, 6.0, 7761.5]"
315,"[[155, 325]]",[1208.5]
316,"[[156, 324]]",[975.5]
317,"[[156, 324]]",[974.0]
318,"[[155, 324]]",[1100.0]
319,"[[156, 324]]",[811.5]
320,"[[158, 323]]",[961.5]
321,"[[157, 324]]",[876.0]
322,"[[161, 323]]",[565.5]
323,"[[160, 324]]",[554.0]
324,"[[157, 324]]",[835.5]
325,"[[159, 322]]",[769.0]
326,"[[154, 322]]",[1138.5]
327,"[[160, 323]]",[642.0]
328,"[[151, 327]]",[1647.5]
329,"[[153, 327]]",[1257.5]
330,"[[157, 328]]",[594.5]
331,"[[158, 328]]",[576.5]
332,"[[162, 320]]",[526.0]
333,"[[155, 325]]",[1003.0]
334,"[[159, 322]]",[816.0]
335,"[[148, 329]]",[1644.5]
336,"[[158, 323]]",[737.0]
337,"[[157, 324]]",[717.0]
338,"[[155, 326]]",[999.5]
339,"[[157, 328]]",[696.5]
340,"[[157, 329]]",[520.0]
341,"[[155, 328]]",[804.5]
342,"[[162, 328]]",[347.5]
343,"[[161, 325]]",[516.5]
344,"[[157, 322]]",[1048.0]
345,"[[161, 325]]",[605.0]
346,"[[159, 325]]",[567.5]
347,"[[157, 320]]",[1125.5]
348,"[[162, 323]]",[387.5]
349,"[[157, 322]]",[1066.5]
350,"[[157, 322]]",[1067.5]
351,"[[161, 320]]",[742.0]
352,"[[158, 319]]",[1017.5]
353,"[[159, 324]]",[658.5]
354,"[[159, 325]]",[589.5]
355,"[[176, 399], [120, 399], [141, 395], [109, 384], [106, 381], [107, 281], [117, 269], [151, 328]]","[50.0, 39.0, 168.0, 0.5, 4.0, 123.5, 3.5, 8188.0]"
356,"[[175, 399], [169, 393], [165, 389], [135, 394], [117, 372], [156, 307], [118, 279], [153, 326]]","[51.0, 1.0, 1.0, 314.0, 0.5, 44.5, 14.0, 5951.0]"
357,"[[121, 357], [151, 326]]","[6.0, 5873.5]"
358,"[[151, 333]]",[2360.5]
359,"[[149, 336]]",[2969.5]
360,"[[154, 326]]",[1376.5]
361,"[[155, 325]]",[1015.0]
362,"[[159, 324]]",[714.5]
363,"[[157, 325]]",[863.0]
364,"[[158, 327]]",[666.0]
365,"[[154, 332]]",[260.0]
366,"[[161, 322]]",[582.5]
367,"[[144, 331]]",[1061.5]
368,"[[143, 410], [159, 333]]","[1227.5, 145.0]"
369,"[[163, 325]]",[366.5]
370,"[[163, 326]]",[422.5]
371,"[[157, 324]]",[626.0]
372,"[[155, 324]]",[1305.0]
373,"[[157, 325]]",[913.0]
374,"[[160, 323]]",[542.0]
375,"[[161, 323]]",[331.5]
376,"[[160, 329]]",[314.0]
377,"[[155, 327]]",[921.5]
378,"[[159, 329]]",[287.0]
379,"[[163, 322]]",[419.0]
380,"[[160, 326]]",[503.5]
381,"[[154, 332]]",[651.5]
382,"[[518, 276]]",[6067.0]
383,"[[158, 325]]",[636.0]
384,"[[163, 328]]",[240.5]
385,"[[163, 319]]",[538.0]
386,"[[159, 324]]",[716.5]
387,"[[161, 323]]",[522.0]
388,"[[159, 324]]",[630.0]
389,"[[161, 325]]",[445.0]
390,"[[162, 326]]",[430.5]
391,"[[162, 325]]",[497.5]
392,"[[135, 402], [117, 345], [162, 329]]","[1147.5, 199.0, 243.5]"
393,"[[111, 350], [159, 323]]","[346.5, 843.5]"
394,"[[156, 323]]",[1508.0]
395,"[[153, 414], [165, 389], [160, 409], [201, 258], [123, 263], [114, 258], [156, 324]]","[11.5, 2.0, 915.0, 16.0, 86.0, 3.5, 8042.5]"
396,"[[170, 394], [138, 392], [154, 327]]","[49.5, 90.0, 6754.0]"
397,"[[129, 301], [188, 292], [154, 321]]","[22.5, 29.5, 4820.0]"
398,"[[158, 328]]",[2249.5]
399,"[[157, 324]]",[2228.0]
400,"[[156, 322]]",[1036.0]
401,"[[156, 323]]",[1009.5]
402,"[[157, 324]]",[1076.0]
403,"[[156, 322]]",[1067.5]
404,"[[159, 327]]",[628.5]
405,"[[157, 322]]",[1037.0]
406,"[[155, 323]]",[853.5]
407,"[[161, 324]]",[628.0]
408,"[[161, 320]]",[685.0]
409,"[[160, 320]]",[887.0]
410,"[[163, 321]]",[253.0]
411,"[[150, 333]]",[387.0]
412,"[[156, 328]]",[849.5]
413,"[[159, 323]]",[703.5]
414,"[[162, 321]]",[622.5]
415,"[[161, 325]]",[481.0]
416,"[[161, 331]]",[234.0]
417,"[[158, 324]]",[885.5]
418,"[[165, 328]]",[175.5]
419,"[[535, 281]]",[4227.0]
420,"[[163, 321]]",[503.0]
421,"[[158, 325]]",[715.5]
422,"[[161, 323]]",[553.5]
423,"[[155, 324]]",[1106.0]
424,"[[138, 293], [114, 271], [165, 313]]","[25.0, 19.0, 5290.5]"
425,"[[165, 320]]",[330.5]
426,"[[147, 331]]",[595.0]
427,"[[165, 321]]",[272.5]
428,"[[166, 323]]",[300.5]
429,"[[164, 322]]",[465.5]
430,"[[161, 325]]",[480.0]
431,"[[163, 324]]",[351.0]
432,"[[165, 322]]",[227.0]
433,"[[163, 301], [165, 322]]","[13.0, 8143.5]"
434,"[[156, 322]]",[1377.0]
435,"[[157, 325], [537, 301]]","[891.5, 2063.0]"
436,"[[157, 328]]",[2836.5]
437,"[[189, 280], [154, 318]]","[12.5, 3891.5]"
438,"[[157, 321]]",[1016.5]
439,"[[157, 323]]",[947.0]
440,"[[162, 320]]",[681.0]
441,"[[162, 322]]",[588.5]
442,"[[162, 321]]",[609.5]
443,"[[163, 321]]",[403.5]
444,"[[163, 321]]",[445.5]
445,"[[165, 321]]",[351.5]
446,"[[163, 320]]",[575.0]
447,"[[166, 327]]",[275.5]
448,"[[163, 321]]",[531.0]
449,"[[165, 331]]",[151.5]
450,"[[159, 331]]",[213.5]
451,"[[165, 320]]",[345.0]
452,"[[163, 321]]",[471.5]
453,"[[161, 321]]",[635.5]
454,"[[149, 322]]",[1860.5]
455,"[[156, 319]]",[1178.0]
456,"[[151, 318]]",[1670.0]
457,"[[165, 318]]",[420.5]
458,"[[161, 319]]",[703.5]
459,"[[163, 321]]",[509.0]
460,"[[163, 318]]",[572.0]
461,"[[167, 310]]",[653.0]
462,"[[162, 316]]",[991.0]
463,"[[167, 313]]",[558.5]
464,"[[165, 316]]",[449.5]
465,"[[167, 297]]",[221.5]
466,"[[164, 311]]",[953.5]
467,"[[165, 312]]",[808.0]
468,"[[162, 317]]",[763.5]
469,"[[163, 312]]",[970.0]
470,"[[168, 307]]",[756.5]
471,"[[174, 295]]",[198.0]
472,"[[167, 312]]",[566.5]
473,"[[167, 312]]",[585.5]
474,"[[167, 313]]",[544.0]
475,"[[167, 313]]",[534.5]
476,"[[181, 333], [167, 310]]","[1.0, 664.5]"
477,"[[180, 333], [167, 311]]","[11.0, 660.5]"
478,"[[181, 333], [166, 313]]","[1.0, 746.0]"
479,"[[167, 310]]",[633.0]
480,"[[165, 311]]",[782.0]
481,"[[184, 337], [144, 315]]","[25.0, 2838.5]"
482,"[[167, 313]]",[550.0]
483,"[[157, 317]]",[1647.0]
484,"[[159, 316]]",[1549.0]
485,"[[161, 314]]",[1375.0]
486,"[[135, 283], [156, 316]]","[23.5, 1849.0]"
487,"[[161, 313]]",[1146.0]
488,"[[165, 321]]",[475.5]
489,"[[147, 319]]",[2091.0]
490,"[[173, 296]]",[215.5]
491,"[[166, 310]]",[905.5]
492,"[[188, 292]]",[1947.0]
493,"[[148, 315]]",[2220.5]
494,"[[167, 308]]",[697.5]
495,"[[163, 313]]",[979.5]
496,"[[153, 317], [125, 290]]","[1695.0, 14.0]"
497,"[[165, 311]]",[808.0]
498,"[[165, 311]]",[792.5]
499,"[[163, 313]]",[972.5]
500,"[[159, 315]]",[1426.0]
501,"[[163, 313]]",[971.5]
502,"[[160, 315]]",[1204.0]
503,"[[155, 316]]",[1698.0]
504,"[[181, 332], [169, 308]]","[18.5, 489.5]"
505,"[[141, 315], [106, 273], [175, 265]]","[3203.5, 27.0, 203.0]"
506,"[[167, 310]]",[646.5]
507,"[[167, 310]]",[659.0]
508,"[[142, 329], [147, 316]]","[51.0, 2352.0]"
509,"[[143, 334], [146, 316]]","[62.0, 2743.5]"
510,"[[144, 319], [162, 317]]","[87.5, 952.5]"
511,"[[151, 314]]",[1904.0]
512,"[[153, 313]]",[1838.0]
513,"[[151, 320], [118, 297]]","[2029.5, 328.0]"
514,"[[152, 322], [120, 304]]","[1876.5, 235.5]"
515,"[[165, 316]]",[469.0]
516,"[[138, 341], [161, 315]]","[5.5, 1099.5]"
517,"[[153, 315]]",[1731.5]
518,"[[167, 311]]",[611.0]
519,"[[167, 310]]",[635.0]
520,"[[161, 315], [119, 311]]","[1227.0, 839.0]"
521,"[[161, 320]]",[961.0]
522,"[[167, 310]]",[663.5]
523,"[[165, 311]]",[855.0]
524,"[[161, 314], [119, 305]]","[1283.5, 921.5]"
525,"[[148, 318]]",[2237.5]
526,"[[161, 314]]",[1340.0]
527,"[[148, 329], [156, 318]]","[126.5, 1483.5]"
528,"[[150, 327], [159, 315]]","[153.0, 1419.5]"
529,"[[167, 310]]",[644.5]
530,"[[165, 311]]",[816.5]
531,"[[162, 315], [121, 307]]","[1041.5, 543.5]"
532,"[[162, 315]]",[1023.0]
533,"[[161, 313]]",[1311.5]
534,"[[157, 318]]",[1389.0]
535,"[[109, 315], [104, 277], [156, 313]]","[442.5, 164.0, 2008.5]"
536,"[[167, 313]]",[542.0]
537,"[[181, 332], [169, 308]]","[10.0, 465.5]"
538,"[[169, 308]]",[468.0]
539,"[[167, 311]]",[596.0]
540,"[[167, 308]]",[727.0]
541,"[[129, 292], [159, 315]]","[9.5, 1341.5]"
542,"[[167, 307]]",[748.0]
543,"[[167, 309]]",[631.0]
544,"[[167, 308]]",[627.5]
545,"[[167, 309], [197, 276]]","[617.0, 613.0]"
546,"[[167, 309]]",[652.0]
547,"[[167, 309], [527, 275]]","[675.0, 2143.0]"
548,"[[188, 293]]",[1643.5]
549,"[[167, 312]]",[559.5]
550,"[[167, 311], [207, 279]]","[531.5, 529.0]"
551,"[[181, 335], [167, 309]]","[4.0, 612.0]"
552,"[[133, 345], [152, 311]]","[9.0, 2421.5]"
553,"[[167, 313]]",[570.0]
554,"[[181, 333], [167, 313]]","[1.0, 564.0]"
555,"[[167, 311], [203, 277]]","[615.0, 771.5]"
556,"[[167, 309]]",[592.0]
557,"[[181, 331], [167, 311]]","[4.5, 604.0]"
558,"[[181, 335], [167, 312]]","[5.0, 536.0]"
559,"[[167, 309], [203, 277]]","[616.5, 616.5]"
560,"[[160, 328], [203, 278]]","[310.5, 608.5]"
561,"[[165, 328]]",[189.5]
562,"[[180, 333], [169, 310], [201, 275]]","[9.0, 377.0, 395.0]"
563,"[[152, 326]]",[1083.0]
564,"[[167, 326]]",[140.0]
565,"[[167, 311], [204, 277]]","[477.5, 649.0]"
566,"[[167, 311]]",[547.0]
567,"[[167, 305]]",[428.0]
568,"[[202, 274]]",[821.5]
569,"[[203, 292]]",[1557.5]
570,"[[206, 277]]",[587.0]
571,"[[203, 280]]",[708.0]
572,"[[205, 278]]",[538.5]
573,"[[543, 277]]",[2299.0]
